,pokedex_number,name,german_name,japanese_name,is_generation_1,is_generation_2,is_generation_3,is_generation_4,is_generation_5,is_generation_6,is_generation_7,is_generation_8,status,species,types,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_types,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,Bulbasaur,Bisasam,フシギダネ (Fushigidane),True,False,False,False,False,False,False,False,Normal,Seed Pokémon,"Grass, Poison",2'04'',15.21 lbs,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45.0,70.0,64.0,Medium Slow,"Grass, Monster",87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,Ivysaur,Bisaknosp,フシギソウ (Fushigisou),True,False,False,False,False,False,False,False,Normal,Seed Pokémon,"Grass, Poison",3'03'',28.66 lbs,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45.0,70.0,142.0,Medium Slow,"Grass, Monster",87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,Venusaur,Bisaflor,フシギバナ (Fushigibana),True,False,False,False,False,False,False,False,Normal,Seed Pokémon,"Grass, Poison",6'07'',220.46 lbs,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45.0,70.0,236.0,Medium Slow,"Grass, Monster",87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,3,Mega Venusaur,Bisaflor,フシギバナ (Fushigibana),True,False,False,False,False,False,False,False,Normal,Seed Pokémon,"Grass, Poison",7'10'',342.82 lbs,1,Thick Fat,,,625,80,100,123,122,120,80,45.0,70.0,281.0,Medium Slow,"Grass, Monster",87.5,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,Charmander,Glumanda,ヒトカゲ (Hitokage),True,False,False,False,False,False,False,False,Normal,Lizard Pokémon,Fire,2'00'',18.74 lbs,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45.0,70.0,62.0,Medium Slow,"Dragon, Monster",87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,Charmeleon,Glutexo,リザード (Lizardo),True,False,False,False,False,False,False,False,Normal,Flame Pokémon,Fire,3'07'',41.89 lbs,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45.0,70.0,142.0,Medium Slow,"Dragon, Monster",87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,Charizard,Glurak,リザードン (Lizardon),True,False,False,False,False,False,False,False,Normal,Flame Pokémon,"Fire, Flying",5'07'',199.52 lbs,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45.0,70.0,240.0,Medium Slow,"Dragon, Monster",87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,6,Mega Charizard X,Glurak,リザードン (Lizardon),True,False,False,False,False,False,False,False,Normal,Flame Pokémon,"Fire, Dragon",5'07'',243.61 lbs,1,Tough Claws,,,634,78,130,111,130,85,100,45.0,70.0,285.0,Medium Slow,"Dragon, Monster",87.5,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
8,6,Mega Charizard Y,Glurak,リザードン (Lizardon),True,False,False,False,False,False,False,False,Normal,Flame Pokémon,"Fire, Flying",5'07'',221.56 lbs,1,Drought,,,634,78,104,78,159,115,100,45.0,70.0,285.0,Medium Slow,"Dragon, Monster",87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,Squirtle,Schiggy,ゼニガメ (Zenigame),True,False,False,False,False,False,False,False,Normal,Tiny Turtle Pokémon,Water,1'08'',19.84 lbs,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45.0,70.0,63.0,Medium Slow,"Monster, Water 1",87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
